                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5409,                 4.6917,                  2.795,                  1.851,                0.07928,                0.05884,                0.03143,                0.01277,                0.01333,                0.01602,                0.00488,                0.00153,                 3.5969,                 4.5373,                  2.953,                 1.8455,             0.00066369,             0.00066369,             0.00066369
                      2,                 3.4758,                 4.4534,                 2.5422,                 1.6732,                0.09643,                0.07508,                0.04116,                0.01449,                0.02081,                 0.0165,                0.00745,                0.00216,                 3.4645,                  4.512,                 2.5665,                 1.6816,              0.0011987,              0.0011987,              0.0011987
                      3,                  3.432,                  4.402,                 2.4891,                 1.6367,                0.11104,                0.06835,                0.04486,                0.01594,                0.02581,                0.01668,                0.00898,                0.00287,                 3.4538,                 4.4772,                 2.4904,                 1.6731,              0.0016016,              0.0016016,              0.0016016
                      4,                 3.3771,                 4.3714,                 2.4547,                 1.6167,                0.13222,                0.06245,                0.04251,                0.01567,                0.04047,                0.01846,                 0.0089,                0.00295,                 3.4489,                 4.4125,                 2.5015,                 1.6388,               0.001406,               0.001406,               0.001406
                      5,                 3.3486,                 4.3461,                 2.4237,                 1.6012,                0.12055,                0.07461,                0.04779,                0.01721,                0.02216,                0.03325,                 0.0091,                0.00306,                 3.4399,                 4.3995,                 2.4539,                 1.5734,               0.001208,               0.001208,               0.001208
                      6,                 3.2998,                 4.3227,                 2.3931,                 1.5905,                0.13465,                0.07775,                0.05386,                0.01943,                0.02758,                0.02401,                0.00913,                0.00286,                 3.3168,                 4.3338,                 2.3649,                 1.6165,                0.00101,                0.00101,                0.00101
                      7,                 3.2519,                 4.2808,                 2.3501,                  1.583,                0.14492,                0.07898,                0.05665,                0.01974,                0.01797,                0.03427,                0.00812,                0.00254,                 3.3106,                 4.3002,                 2.3399,                  1.591,               0.000812,               0.000812,               0.000812
                      8,                 3.2314,                 4.2546,                  2.317,                 1.5692,                0.14391,                0.08217,                0.05877,                0.02112,                0.03887,                0.02288,                0.00966,                0.00296,                 3.2294,                 4.2928,                 2.2929,                 1.5846,               0.000614,               0.000614,               0.000614
                      9,                 3.2118,                 4.2363,                 2.2911,                 1.5607,                0.13849,                0.08503,                0.05937,                0.02093,                0.02576,                0.02774,                0.00912,                0.00308,                 3.2595,                  4.275,                 2.2892,                 1.5565,               0.000416,               0.000416,               0.000416
                     10,                  3.176,                 4.2159,                 2.2631,                 1.5505,                0.15806,                0.08684,                0.06574,                0.02376,                0.03094,                0.02748,                0.01367,                0.00399,                 3.1922,                 4.2484,                 2.2397,                 1.5752,               0.000218,               0.000218,               0.000218
